force, startX, endX, deltaX, deltaXDeg
0,300,300,0,0
100,300,330,30,1.35
200,300,360,60,2.7
300,300,390,90,4.05
400,300,420,120,5.4
500,300,450,150,6.75
600,300,480,180,8.1
700,300,510,210,9.45
800,300,540,240,10.8
900,300,570,270,12.15
1000,300,600,300,13.5
1100,300,630,330,14.85
1200,300,660,360,16.2
1300,300,690,390,17.55
1400,300,720,420,18.9
1500,300,750,450,20.25
1600,300,780,480,21.6
1700,300,810,510,22.95
1800,300,840,540,24.3
1900,300,870,570,25.65
2000,300,900,600,27
2100,300,930,630,28.35
2200,300,960,660,29.7
2300,300,990,690,31.05
2400,300,1020,720,32.4
2500,300,1050,750,33.75
2600,300,1080,780,35.1
2700,300,1110,810,36.45
2800,300,1140,840,37.8
2900,300,1170,870,39.15
3000,300,1200,900,40.5
3100,300,1230,930,41.85
3200,300,1260,960,43.2
3300,300,1290,990,44.55
3400,300,1320,1020,45.9
3500,300,1350,1050,47.25
3600,300,1380,1080,48.6
3700,300,1410,1110,49.95
3800,300,1440,1140,51.3
3900,300,1470,1170,52.65
4000,300,1500,1200,54
4100,300,1530,1230,55.35
4200,300,1560,1260,56.7
4300,300,1590,1290,58.05
4400,300,1620,1320,59.4
4500,300,1650,1350,60.75
4600,300,1680,1380,62.1
4700,300,1710,1410,63.45
4800,300,1740,1440,64.8
4900,300,1770,1470,66.15
5000,300,1800,1500,67.5
5100,300,1830,1530,68.85
5200,300,1860,1560,70.2
5300,300,1890,1590,71.55
5400,300,1920,1620,72.9
5500,300,1950,1650,74.25
5600,300,1980,1680,75.6
5700,300,2010,1710,76.95
5800,300,2040,1740,78.3
5900,300,2070,1770,79.65
6000,300,2100,1800,81
6100,300,2130,1830,82.35
6200,300,2160,1860,83.7
6300,300,2190,1890,85.05
6400,300,2220,1920,86.4
6500,300,2250,1950,87.75
6600,300,2280,1980,89.1
6700,300,2310,2010,90.45
6800,300,2340,2040,91.8
6900,300,2370,2070,93.15
7000,300,2400,2100,94.5
7100,300,2430,2130,95.85
7200,300,2460,2160,97.2
7300,300,2490,2190,98.55
7400,300,2520,2220,99.9
7500,300,2550,2250,101.25
7600,300,2580,2280,102.6
7700,300,2610,2310,103.95
7800,300,2640,2340,105.3
7900,300,2670,2370,106.65
8000,300,2700,2400,108
8100,300,2730,2430,109.35
8200,300,2760,2460,110.7
8300,300,2790,2490,112.05
8400,300,2820,2520,113.4
8500,300,2850,2550,114.75
8600,300,2880,2580,116.1
8700,300,2910,2610,117.45
8800,300,2940,2640,118.8
8900,300,2970,2670,120.15
9000,300,3000,2700,121.5
9100,300,3030,2730,122.85
9200,300,3060,2760,124.2
9300,300,3090,2790,125.55
9400,300,3120,2820,126.9
9500,300,3150,2850,128.25
9600,300,3180,2880,129.6
9700,300,3210,2910,130.95
9800,300,3240,2940,132.3
9900,300,3270,2970,133.65
10000,300,3300,3000,135