force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
100, 23, 23, 0, 0.000000
200, 23, 23, 0, 0.013733
300, 23, 23, 0, 0.013733
400, 23, 24, 1, 0.041199
500, 23, 25, 2, 0.082399
600, 23, 27, 4, 0.192264
700, 24, 31, 7, 0.302129
800, 26, 40, 14, 0.617990
900, 30, 100, 70, 3.144884
1000, 79, 126, 47, 2.101167
1100, 80, 182, 102, 4.559396
1200, 72, 214, 142, 6.385900
1300, 76, 336, 260, 11.686885
1400, 53, 512, 459, 20.627146
1500, 5, 641, 636, 28.647287
1600, -49, 802, 851, 38.370335
1700, -65, 918, 983, 44.275578
1800, -64, 1061, 1125, 50.702679
1900, -59, 1198, 1257, 56.621651
2000, -55, 1353, 1408, 63.378349
2100, -43, 1546, 1589, 71.535820
2200, -1, 1678, 1679, 75.600822
2300, -4, 1825, 1829, 82.316322
2400, 24, 1972, 1948, 87.685966
2500, 12, 2140, 2128, 95.788513
2600, 33, 2318, 2285, 102.861069
2700, 30, 2448, 2418, 108.834976
2800, 22, 2546, 2524, 113.559166
2900, 34, 2731, 2697, 121.359581
3000, 40, 2906, 2866, 129.008926
3100, 65, 3057, 2992, 134.639511
3200, 25, 3108, 3083, 138.704514
3300, 30, 3213, 3183, 143.208969
3400, 22, 3297, 3275, 147.356369
3500, 79, 3470, 3391, 152.588699
3600, 62, 3547, 3485, 156.859695
3700, 32, 3544, 3512, 158.040741
3800, 23, 3653, 3630, 163.341721
3900, 36, 3672, 3636, 163.643860
4000, 30, 3738, 3708, 166.829941
4100, 11, 3769, 3758, 169.109634
4200, 32, 3846, 3814, 171.622803
4300, 23, 3827, 3804, 171.183334
4400, 27, 3895, 3868, 174.053558
4500, 67, 4007, 3940, 177.294571
4600, 30, 3976, 3946, 177.582977
4700, 22, 4008, 3986, 179.368271
4800, 5, 4013, 4008, 180.357056
4900, 33, 4100, 4067, 183.048752
5000, 23, 4077, 4054, 182.444489
5100, 34, 4115, 4081, 183.639282
5200, 35, 9679, 9644, 433.980316
5300, 20, 4189, 4169, 187.580688
5400, 23, 4171, 4148, 186.674301
5500, 25, 4212, 4187, 188.404663
5600, 37, 4241, 4204, 189.187454
5700, 32, 4237, 4205, 189.214920
5800, 9, 4241, 4232, 190.409698
5900, 39, 4295, 4256, 191.522095
6000, 23, 4281, 4258, 191.618225
6100, 25, 4292, 4267, 192.043945
6200, 4, 4288, 4284, 192.799271
6300, 35, 4337, 4302, 193.609528
6400, 30, 4358, 4328, 194.721909
6500, 22, 4363, 4341, 195.367355
6600, 32, 4378, 4346, 195.573364
6700, 16, 4353, 4337, 195.175095
6800, 16, 4365, 4349, 195.669495
6900, -639, 3713, 4352, 195.902954
7000, 6, 4356, 4350, 195.751892
7100, 29, 4423, 4394, 197.729462
7200, 28, 4432, 4404, 198.182648
7300, 30, 4425, 4395, 197.811859
7400, 16, 4419, 4403, 198.141449
7500, 27, 4428, 4401, 198.086517
7600, 20, 4411, 4391, 197.592133
7700, 14, 4441, 4427, 199.185165
7800, 36, 4457, 4421, 198.924240
7900, 35, 4461, 4426, 199.143967
8000, 34, 4453, 4419, 198.841843
8100, 67, 4517, 4450, 200.242615
8200, 29, 4460, 4431, 199.418625
8300, 50, 4490, 4440, 199.803162
8400, 45, 4490, 4445, 200.022888
8500, 56, 4529, 4473, 201.258865
8600, 51, 4533, 4482, 201.725800
8700, 73, 4551, 4478, 201.506073
8800, 31, 4528, 4497, 202.371246
8900, 67, 4595, 4528, 203.730835
9000, 64, 4565, 4501, 202.536057
9100, 79, 4566, 4487, 201.931793
9200, 29, 4559, 4530, 203.881897
9300, 33, 4562, 4529, 203.840698
9400, 36, 4548, 4512, 203.044174
9500, 60, 4603, 4543, 204.431213
9600, 30, 4536, 4506, 202.742050
9700, 30, 4562, 4532, 203.909363
9800, 61, 4624, 4563, 205.310135
9900, 63, 4633, 4570, 205.639740
10000, 54, 4604, 4550, 204.733353
